,index,PhotoID,UploadedDate,Upper/Lower,dominant_colors,image,scores,style,type
60,0,31,2/8/2019,LowerBody,white,51548713_809009692793933_1880518492449406976_n.jpg,0.27046686,Denim,trouser
61,1,31,2/8/2019,Upperbody,white,51548713_809009692793933_1880518492449406976_n.jpg,0.20080774,LongSleeves,Shirt
62,0,32,2/8/2019,Upperbody,white,51593833_809009776127258_462302780728541184_n.jpg,0.34648603,Regular,Coat
63,1,32,2/8/2019,LowerBody,white,51593833_809009776127258_462302780728541184_n.jpg,0.27013993,Regular,trouser
64,0,33,2/8/2019,Upperbody,yellow,51805314_2098462943565900_2001822353301962752_n.jpg,0.33763176,Regular,Suit
65,1,33,2/8/2019,LowerBody,yellow,51805314_2098462943565900_2001822353301962752_n.jpg,0.09976788,Denim,trouser
66,0,34,2/8/2019,Upperbody,white,51366961_2098462986899229_6028929345257472000_n.jpg,0.54807925,Regular,Suit
67,1,34,2/8/2019,LowerBody,yellow,51366961_2098462986899229_6028929345257472000_n.jpg,0.34266716,Denim,trouser
68,0,35,2/8/2019,LowerBody,white,51737751_2098462893565905_2313094481672404992_n.jpg,0.46314457,Regular,trouser
69,1,35,2/8/2019,Upperbody,black,51737751_2098462893565905_2313094481672404992_n.jpg,0.19719581,Regular,Jacket
70,0,36,2/8/2019,Upperbody,black,51603087_2098463066899221_8346825780755431424_o.jpg,0.050977062,Regular,Shirt
71,1,36,2/8/2019,LowerBody,red,51603087_2098463066899221_8346825780755431424_o.jpg,0.033769656,Regular,trouser
72,0,37,2/8/2019,LowerBody,white,51794200_2097801936965334_5689192153629065216_n.jpg,0.41957942,Regular,Short
73,1,37,2/8/2019,Upperbody,black,51794200_2097801936965334_5689192153629065216_n.jpg,0.32165852,Regular,Suit
74,0,38,1/18/2019,Upperbody,white,50041771_2331088563781227_5733375474340462592_n.jpg,0.39956385,Regular,Jacket
75,1,38,1/18/2019,LowerBody,red,50041771_2331088563781227_5733375474340462592_n.jpg,0.08682878,Denim,trouser
76,0,39,1/18/2019,Upperbody,black,50029833_2331089360447814_3477087162132856832_n.jpg,0.48521414,Regular,Jacket
77,1,39,1/18/2019,LowerBody,red,50029833_2331089360447814_3477087162132856832_n.jpg,0.06382595,Regular,trouser
78,0,40,12/15/2018,Upperbody,blue,48426052_2038349116243950_5265559647820972032_n.jpg,0.3545799,LongSleeves,Shirt
79,1,40,12/15/2018,LowerBody,black,48426052_2038349116243950_5265559647820972032_n.jpg,0.15889895,Denim,trouser
80,0,41,12/16/2018,Upperbody,black,48420695_1173668696134323_7200553250595012608_n.jpg,0.23380443,Regular,Suit
81,1,41,12/16/2018,LowerBody,cyan,48420695_1173668696134323_7200553250595012608_n.jpg,0.06898455,Denim,trouser
82,0,42,12/16/2018,LowerBody,white,48363071_2484159148478118_4676124954662535168_n.jpg,0.73231566,Denim,trouser
83,1,42,12/16/2018,Upperbody,cyan,48363071_2484159148478118_4676124954662535168_n.jpg,0.4046435,LongSleeves,Shirt
84,0,43,7/21/2018,Upperbody,white,37517958_1812272332184964_8399608192929103872_n.jpg,0.070847966,Regular,T-Shirt
85,1,43,7/21/2018,LowerBody,black,37517958_1812272332184964_8399608192929103872_n.jpg,0.047940638,Denim,trouser
86,0,44,3/25/2018,Upperbody,white,29512159_942059155956981_7396283547601960304_n.jpg,0.4204381,Regular,T-Shirt
87,1,44,3/25/2018,LowerBody,black,29512159_942059155956981_7396283547601960304_n.jpg,0.08403104,Denim,trouser
88,0,45,3/25/2018,LowerBody,lime,29511659_942040245958872_8427830219942138303_n.jpg,0.00012716015,Regular,trouser
89,1,45,3/25/2018,Upperbody,yellow,29511659_942040245958872_8427830219942138303_n.jpg,4.2449724e-06,LongSleeves,T-Shirt
90,0,46,3/25/2018,LowerBody,yellow,29572603_942054062624157_2522742608435751723_n.jpg,0.7710696,Denim,trouser
91,1,46,3/25/2018,Upperbody,yellow,29572603_942054062624157_2522742608435751723_n.jpg,0.43333584,LongSleeves,Shirt
92,0,47,1/16/2018,Upperbody,red,26814951_1596494690429397_8239671426045502262_n.jpg,0.44645888,Regular,T-Shirt
93,1,47,1/16/2018,LowerBody,white,26814951_1596494690429397_8239671426045502262_n.jpg,0.031079672,Denim,trouser
94,0,48,12/10/2017,LowerBody,white,24899896_10155840005509030_1610085515038387070_n.jpg,0.3583726,Denim,trouser
95,1,48,12/10/2017,Upperbody,white,24899896_10155840005509030_1610085515038387070_n.jpg,0.26865104,Regular,T-Shirt
96,0,49,10/1/2017,LowerBody,red,19059754_898837816932603_8705673614524664035_n.jpg,0.5659959,Denim,trouser
97,1,49,10/1/2017,Upperbody,white,19059754_898837816932603_8705673614524664035_n.jpg,0.3634114,LongSleeves,T-Shirt
98,0,50,5/6/2017,Upperbody,black,18238909_1925930470985828_3208344434846545527_o.jpg,0.58623254,Regular,T-Shirt
99,1,50,5/6/2017,LowerBody,yellow,18238909_1925930470985828_3208344434846545527_o.jpg,0.26487452,Denim,trouser
100,0,51,5/6/2017,LowerBody,white,18274829_1413537838668451_1535836200873956631_n.jpg,0.5401516,Denim,trouser
101,1,51,5/6/2017,Upperbody,black,18274829_1413537838668451_1535836200873956631_n.jpg,0.07325927,Regular,T-Shirt
102,0,52,10/11/2016,Upperbody,black,14681711_10207132203812783_2705284071956284966_n.jpg,0.37051937,LongSleeves,Shirt
103,1,52,10/11/2016,LowerBody,red,14681711_10207132203812783_2705284071956284966_n.jpg,0.14881268,Denim,trouser
104,0,53,10/2/2016,Upperbody,red,14463118_10210551678858785_4119039059085284257_n.jpg,0.29927477,Regular,T-Shirt
105,1,53,10/2/2016,LowerBody,red,14463118_10210551678858785_4119039059085284257_n.jpg,0.044413745,Denim,trouser
106,0,54,6/11/2016,LowerBody,red,13432362_1057653327646872_1993674579070438185_n.jpg,0.32257095,Denim,trouser
107,1,54,6/11/2016,Upperbody,blue,13432362_1057653327646872_1993674579070438185_n.jpg,0.29568335,LongSleeves,T-Shirt
108,0,55,4/28/2016,LowerBody,black,13083226_1337332549617113_8624362756054027052_n.jpg,0.59350437,Denim,trouser
109,1,55,4/28/2016,Upperbody,red,13083226_1337332549617113_8624362756054027052_n.jpg,0.3950153,LongSleeves,Shirt
110,0,56,3/22/2016,Upperbody,red,12814235_1005879866157552_6412666589630948664_n.jpg,0.39957896,LongSleeves,T-Shirt
111,1,56,3/22/2016,LowerBody,white,12814235_1005879866157552_6412666589630948664_n.jpg,0.16557713,Denim,trouser
112,0,57,2/19/2016,LowerBody,red,12717641_1747528155479034_2246901966685526614_n.jpg,0.74116087,Denim,trouser
113,1,57,2/19/2016,Upperbody,red,12717641_1747528155479034_2246901966685526614_n.jpg,0.42488012,LongSleeves,Shirt
114,0,58,2/6/2016,LowerBody,black,11230221_811501048961964_8683899351636353811_n.jpg,0.7319518,Denim,trouser
115,1,58,2/6/2016,Upperbody,white,11230221_811501048961964_8683899351636353811_n.jpg,0.65717316,Regular,Suit
116,0,59,1/9/2016,LowerBody,white,12644811_1698574690386615_4374715124921591515_n.jpg,0.39995536,Denim,trouser
117,1,59,1/9/2016,Upperbody,cyan,12644811_1698574690386615_4374715124921591515_n.jpg,0.36866334,Regular,T-Shirt
118,0,60,12/22/2016,Upperbody,black,734693_1686205088290242_1357465974326115867_n.jpg,0.80989236,Regular,T-Shirt
119,1,60,12/22/2016,LowerBody,white,734693_1686205088290242_1357465974326115867_n.jpg,0.075164974,Slim,trouser
120,0,61,10/28/2015,LowerBody,blue,12195890_930196947059178_3388686109305615359_n.jpg,0.39332363,Denim,trouser
121,1,61,10/28/2015,Upperbody,black,12195890_930196947059178_3388686109305615359_n.jpg,0.3074097,LongSleeves,T-Shirt
122,0,62,12/12/2015,LowerBody,red,12279042_949472678464938_2330910183744223887_n.jpg,0.42642713,Slim,trouser
123,1,62,12/12/2015,Upperbody,white,12279042_949472678464938_2330910183744223887_n.jpg,0.15072975,Regular,T-Shirt
124,0,63,11/21/2015,Upperbody,black,12243341_940402162705323_7512832953233684954_n.jpg,0.48878378,LongSleeves,Shirt
125,1,63,11/21/2015,LowerBody,black,12243341_940402162705323_7512832953233684954_n.jpg,0.046997905,Denim,trouser
126,0,64,9/27/2015,Upperbody,white,12043191_918428968235976_9125401000821980310_n.jpg,0.20696789,Regular,Coat
127,1,64,9/27/2015,LowerBody,white,12043191_918428968235976_9125401000821980310_n.jpg,0.08190169,Regular,trouser
128,0,65,2015/9/31,Upperbody,black,11921671_901731613239045_153034796090851181_n.jpg,0.3223806,Regular,T-Shirt
129,1,65,2015/9/31,LowerBody,white,11921671_901731613239045_153034796090851181_n.jpg,0.0735465,Slim,trouser
130,0,66,2015/9/31,LowerBody,white,11947547_901731583239048_8270903800076531561_n.jpg,0.6958411,Denim,trouser
131,1,66,2015/9/31,Upperbody,black,11947547_901731583239048_8270903800076531561_n.jpg,0.13996767,LongSleeves,Shirt
132,0,67,9/25/2015,LowerBody,yellow,11892152_898521996893340_1102835645021175548_n.jpg,0.64768815,Denim,trouser
133,1,67,9/25/2015,Upperbody,red,11892152_898521996893340_1102835645021175548_n.jpg,0.47502345,Regular,Jacket
134,0,68,9/11/2015,LowerBody,black,11866324_720414378102898_6985619653476652594_n.jpg,0.5888646,Denim,trouser
135,1,68,9/11/2015,Upperbody,black,11866324_720414378102898_6985619653476652594_n.jpg,0.18155313,Regular,Jacket
136,0,69,6/21/2015,LowerBody,black,11057734_865398036872403_7008486562727831149_n.jpg,0.56370616,Denim,trouser
137,1,69,6/21/2015,Upperbody,black,11057734_865398036872403_7008486562727831149_n.jpg,0.37782302,Regular,Jacket
138,0,70,3/13/2015,LowerBody,black,11083643_832454773500063_1308784859881260683_n.jpg,0.16202879,Regular,trouser
139,1,70,3/13/2015,Upperbody,white,11083643_832454773500063_1308784859881260683_n.jpg,0.11314405,Regular,T-Shirt
140,0,71,11/7/2014,LowerBody,white,1379874_522121327890941_816702169733831173_n.jpg,0.70014125,Denim,trouser
141,1,71,11/7/2014,Upperbody,black,1379874_522121327890941_816702169733831173_n.jpg,0.3463492,Regular,T-Shirt
